,AD_MAG_1,AD_MAG_2,Similarity
41834,11A_II_BM_out.110.fa,8A_II_BM_out.193.fa,96.342
41832,11A_II_BM_out.110.fa,9A_II_BM_out.104.fa,96.7626
41829,11A_II_BM_out.110.fa,AD118III_FD_BM_out.63.fa,97.4109
41825,11A_II_BM_out.110.fa,AD121II_FD_BM_out.96.fa,97.7452
41819,11A_II_BM_out.110.fa,AD126III_FD_BM_out.39.fa,98.1235
41817,11A_II_BM_out.110.fa,AD128I_FD_BM_out.67.fa,98.1684
41821,11A_II_BM_out.110.fa,AD132III_FD_BM_out.54.fa,97.9557
41820,11A_II_BM_out.110.fa,AD143II_FD_BM_out.19.fa,98.0701
41828,11A_II_BM_out.110.fa,AD148III_FD_BM_out.87.fa,97.4808
41816,11A_II_BM_out.110.fa,AD152III_FD_BM_out.35.fa,98.2029
42396,11A_II_BM_out.112.fa,13A_III_BM_out.55.fa,98.9832
42399,11A_II_BM_out.112.fa,15A_II_BM_out.120.fa,98.3683
42397,11A_II_BM_out.112.fa,17A_III_BM_out.144.fa,98.9276
42402,11A_II_BM_out.112.fa,7A_III_BM_out.63.fa,97.3452
42401,11A_II_BM_out.112.fa,AD132III_FD_BM_out.32.fa,97.3788
42398,11A_II_BM_out.112.fa,AD138III_FD_BM_out.26.fa,98.6504
42400,11A_II_BM_out.112.fa,AD152III_FD_BM_out.20.fa,97.4665
42950,11A_II_BM_out.115.fa,13A_III_BM_out.91.fa,99.1157
42951,11A_II_BM_out.115.fa,15A_II_BM_out.148.fa,99.0654
42952,11A_II_BM_out.115.fa,17A_III_BM_out.138.fa,98.9849
42947,11A_II_BM_out.115.fa,2AD43II_FD_BM_out.92.fa,99.5497
42941,11A_II_BM_out.115.fa,2AD48II_FD_BM_out.80.fa,99.7475
42955,11A_II_BM_out.115.fa,6A_II_BM_out.81.fa,98.3858
42956,11A_II_BM_out.115.fa,7A_III_BM_out.92.fa,98.3826
42954,11A_II_BM_out.115.fa,8A_II_BM_out.96.fa,98.5247
42953,11A_II_BM_out.115.fa,9A_II_BM_out.80.fa,98.9139
42949,11A_II_BM_out.115.fa,AD118III_FD_BM_out.89.fa,99.2176
42948,11A_II_BM_out.115.fa,AD121II_FD_BM_out.80.fa,99.4772
42946,11A_II_BM_out.115.fa,AD126III_FD_BM_out.77.fa,99.5916
42945,11A_II_BM_out.115.fa,AD128I_FD_BM_out.17.fa,99.6347
42940,11A_II_BM_out.115.fa,AD132III_FD_BM_out.44.fa,99.7763
42957,11A_II_BM_out.115.fa,AD138III_FD_BM_out.57.fa,98.2612
42944,11A_II_BM_out.115.fa,AD143II_FD_BM_out.31.fa,99.6666
42943,11A_II_BM_out.115.fa,AD148III_FD_BM_out.20.fa,99.6758
42942,11A_II_BM_out.115.fa,AD152III_FD_BM_out.141.fa,99.6932
42497,11A_II_BM_out.116.fa,13A_III_BM_out.160.fa,99.4406
42496,11A_II_BM_out.116.fa,15A_II_BM_out.64.fa,99.443
42498,11A_II_BM_out.116.fa,17A_III_BM_out.121.fa,99.4109
41466,11A_II_BM_out.120.fa,13A_III_BM_out.12.fa,99.436
41460,11A_II_BM_out.120.fa,15A_II_BM_out.223.fa,99.9948
41464,11A_II_BM_out.120.fa,17A_III_BM_out.200.fa,99.9612
41465,11A_II_BM_out.120.fa,6A_II_BM_out.89.fa,99.5479
41463,11A_II_BM_out.120.fa,AD118III_FD_BM_out.139.fa,99.9625
41461,11A_II_BM_out.120.fa,AD121II_FD_BM_out.33.fa,99.9777
41462,11A_II_BM_out.120.fa,AD126III_FD_BM_out.95.fa,99.9712
41727,11A_II_BM_out.121.fa,6A_II_BM_out.140.fa,99.52
41726,11A_II_BM_out.121.fa,7A_III_BM_out.213.fa,99.624
41728,11A_II_BM_out.121.fa,9A_II_BM_out.50.fa,99.2368
41362,11A_II_BM_out.122.fa,17A_III_BM_out.288.fa,98.6694
41120,11A_II_BM_out.123.fa,13A_III_BM_out.119.fa,99.8473
41119,11A_II_BM_out.123.fa,15A_II_BM_out.90.fa,99.8752
41126,11A_II_BM_out.123.fa,17A_III_BM_out.225.fa,99.7643
41131,11A_II_BM_out.123.fa,2AD43II_FD_BM_out.31.fa,99.5934
41123,11A_II_BM_out.123.fa,2AD48II_FD_BM_out.35.fa,99.795
41122,11A_II_BM_out.123.fa,8A_II_BM_out.73.fa,99.8298
41124,11A_II_BM_out.123.fa,9A_II_BM_out.58.fa,99.7941
41117,11A_II_BM_out.123.fa,AD118III_FD_BM_out.7.fa,99.8874
41121,11A_II_BM_out.123.fa,AD121II_FD_BM_out.88.fa,99.8383
41125,11A_II_BM_out.123.fa,AD126III_FD_BM_out.43.fa,99.7651
41127,11A_II_BM_out.123.fa,AD128I_FD_BM_out.38.fa,99.6733
41129,11A_II_BM_out.123.fa,AD132III_FD_BM_out.76.fa,99.6285
41132,11A_II_BM_out.123.fa,AD138III_FD_BM_out.100.fa,99.3424
41128,11A_II_BM_out.123.fa,AD143II_FD_BM_out.56.fa,99.6721
41130,11A_II_BM_out.123.fa,AD148III_FD_BM_out.35.fa,99.6256
41118,11A_II_BM_out.123.fa,AD152III_FD_BM_out.47.fa,99.8778
40657,11A_II_BM_out.124.fa,13A_III_BM_out.11.fa,98.2314
40660,11A_II_BM_out.124.fa,6A_II_BM_out.67.fa,97.8931
40658,11A_II_BM_out.124.fa,7A_III_BM_out.118.fa,98.1824
40656,11A_II_BM_out.124.fa,9A_II_BM_out.89.fa,98.5046
40655,11A_II_BM_out.124.fa,AD126III_FD_BM_out.28.fa,98.7436
40661,11A_II_BM_out.124.fa,AD128I_FD_BM_out.58.fa,97.1315
40659,11A_II_BM_out.124.fa,AD132III_FD_BM_out.36.fa,98.0764
41951,11A_II_BM_out.129.fa,6A_II_BM_out.114.fa,97.4612
41950,11A_II_BM_out.129.fa,AD138III_FD_BM_out.55.fa,99.8904
41935,11A_II_BM_out.13.fa,13A_III_BM_out.207.fa,99.9975
41936,11A_II_BM_out.13.fa,15A_II_BM_out.182.fa,99.9969
41941,11A_II_BM_out.13.fa,17A_III_BM_out.252.fa,99.5724
41940,11A_II_BM_out.13.fa,6A_II_BM_out.32.fa,99.9428
41937,11A_II_BM_out.13.fa,7A_III_BM_out.34.fa,99.995
41934,11A_II_BM_out.13.fa,8A_II_BM_out.213.fa,99.9978
41939,11A_II_BM_out.13.fa,9A_II_BM_out.146.fa,99.9445
41938,11A_II_BM_out.13.fa,AD118III_FD_BM_out.126.fa,99.9568
41942,11A_II_BM_out.13.fa,AD148III_FD_BM_out.60.fa,99.2833
41065,11A_II_BM_out.130.fa,13A_III_BM_out.29.fa,99.6833
41063,11A_II_BM_out.130.fa,15A_II_BM_out.167.fa,99.7119
41073,11A_II_BM_out.130.fa,17A_III_BM_out.117.fa,99.6186
41062,11A_II_BM_out.130.fa,2AD43II_FD_BM_out.74.fa,99.7183
41076,11A_II_BM_out.130.fa,2AD48II_FD_BM_out.95.fa,99.5322
41070,11A_II_BM_out.130.fa,2AD52I_FD_BM_out.51.fa,99.6348
41074,11A_II_BM_out.130.fa,2AD57I_FD_BM_out.94.fa,99.6031
41064,11A_II_BM_out.130.fa,2AD61I_FD_BM_out.57.fa,99.6885
41068,11A_II_BM_out.130.fa,6A_II_BM_out.80.fa,99.6487
41075,11A_II_BM_out.130.fa,7A_III_BM_out.4.fa,99.5884
41069,11A_II_BM_out.130.fa,8A_II_BM_out.14.fa,99.6437
41066,11A_II_BM_out.130.fa,9A_II_BM_out.212.fa,99.677
41059,11A_II_BM_out.130.fa,AD118III_FD_BM_out.164.fa,99.8505
41067,11A_II_BM_out.130.fa,AD121II_FD_BM_out.75.fa,99.6504
41061,11A_II_BM_out.130.fa,AD126III_FD_BM_out.78.fa,99.8285
41058,11A_II_BM_out.130.fa,AD128I_FD_BM_out.13.fa,99.9044
41060,11A_II_BM_out.130.fa,AD132III_FD_BM_out.86.fa,99.8371
41072,11A_II_BM_out.130.fa,AD143II_FD_BM_out.85.fa,99.6248
41071,11A_II_BM_out.130.fa,AD148III_FD_BM_out.13.fa,99.6267
41077,11A_II_BM_out.130.fa,AD152III_FD_BM_out.117.fa,99.3231
40705,11A_II_BM_out.131.fa,13A_III_BM_out.73.fa,99.4153
40710,11A_II_BM_out.131.fa,15A_II_BM_out.35.fa,99.1331
40707,11A_II_BM_out.131.fa,17A_III_BM_out.61.fa,99.2767
40708,11A_II_BM_out.131.fa,6A_II_BM_out.123.fa,99.1698
40712,11A_II_BM_out.131.fa,7A_III_BM_out.221.fa,99.0176
40711,11A_II_BM_out.131.fa,8A_II_BM_out.144.fa,99.1297
40709,11A_II_BM_out.131.fa,9A_II_BM_out.114.fa,99.1416
40706,11A_II_BM_out.131.fa,AD132III_FD_BM_out.122.fa,99.402
40560,11A_II_BM_out.132.fa,13A_III_BM_out.83.fa,99.85
40562,11A_II_BM_out.132.fa,15A_II_BM_out.83.fa,99.7439
40561,11A_II_BM_out.132.fa,17A_III_BM_out.242.fa,99.7618
40564,11A_II_BM_out.132.fa,6A_II_BM_out.160.fa,99.0825
40558,11A_II_BM_out.132.fa,7A_III_BM_out.35.fa,99.9281
40559,11A_II_BM_out.132.fa,8A_II_BM_out.49.fa,99.8977
40563,11A_II_BM_out.132.fa,AD126III_FD_BM_out.9.fa,99.2188
41173,11A_II_BM_out.134.fa,13A_III_BM_out.173.fa,99.9241
41170,11A_II_BM_out.134.fa,15A_II_BM_out.74.fa,99.9338
41184,11A_II_BM_out.134.fa,17A_III_BM_out.284.fa,99.8835
41182,11A_II_BM_out.134.fa,2AD43II_FD_BM_out.3.fa,99.8944
41189,11A_II_BM_out.134.fa,2AD48II_FD_BM_out.31.fa,99.7354
41190,11A_II_BM_out.134.fa,2AD52I_FD_BM_out.22.fa,99.6716
41186,11A_II_BM_out.134.fa,2AD57I_FD_BM_out.73.fa,99.8667
41175,11A_II_BM_out.134.fa,2AD61I_FD_BM_out.117.fa,99.9214
41180,11A_II_BM_out.134.fa,6A_II_BM_out.88.fa,99.9048
41177,11A_II_BM_out.134.fa,7A_III_BM_out.235.fa,99.9091
41178,11A_II_BM_out.134.fa,8A_II_BM_out.62.fa,99.9077
41179,11A_II_BM_out.134.fa,9A_II_BM_out.144.fa,99.905
41183,11A_II_BM_out.134.fa,AD118III_FD_BM_out.16.fa,99.89
41185,11A_II_BM_out.134.fa,AD121II_FD_BM_out.34.fa,99.8693
41171,11A_II_BM_out.134.fa,AD126III_FD_BM_out.89.fa,99.926
41174,11A_II_BM_out.134.fa,AD128I_FD_BM_out.21.fa,99.9227
41172,11A_II_BM_out.134.fa,AD132III_FD_BM_out.29.fa,99.9251
41188,11A_II_BM_out.134.fa,AD138III_FD_BM_out.3.fa,99.8154
41181,11A_II_BM_out.134.fa,AD143II_FD_BM_out.10.fa,99.9043
41176,11A_II_BM_out.134.fa,AD148III_FD_BM_out.85.fa,99.9133
41187,11A_II_BM_out.134.fa,AD152III_FD_BM_out.48.fa,99.8379
41339,11A_II_BM_out.135.fa,13A_III_BM_out.85.fa,99.787
41333,11A_II_BM_out.135.fa,15A_II_BM_out.31.fa,99.8031
41334,11A_II_BM_out.135.fa,17A_III_BM_out.16.fa,99.8
41338,11A_II_BM_out.135.fa,2AD43II_FD_BM_out.21.fa,99.7887
41340,11A_II_BM_out.135.fa,2AD48II_FD_BM_out.55.fa,99.7773
41341,11A_II_BM_out.135.fa,2AD57I_FD_BM_out.41.fa,99.7724
41328,11A_II_BM_out.135.fa,2AD61I_FD_BM_out.13.fa,99.8321
41337,11A_II_BM_out.135.fa,6A_II_BM_out.221.fa,99.7894
41335,11A_II_BM_out.135.fa,7A_III_BM_out.61.fa,99.7997
41332,11A_II_BM_out.135.fa,8A_II_BM_out.52.fa,99.8143
41329,11A_II_BM_out.135.fa,9A_II_BM_out.41.fa,99.8315
41342,11A_II_BM_out.135.fa,AD118III_FD_BM_out.119.fa,99.752
41344,11A_II_BM_out.135.fa,AD121II_FD_BM_out.63.fa,99.6033
41331,11A_II_BM_out.135.fa,AD126III_FD_BM_out.25.fa,99.8179
41336,11A_II_BM_out.135.fa,AD128I_FD_BM_out.31.fa,99.7911
41330,11A_II_BM_out.135.fa,AD148III_FD_BM_out.120.fa,99.8207
41343,11A_II_BM_out.135.fa,AD152III_FD_BM_out.129.fa,99.7321
41542,11A_II_BM_out.137.fa,15A_II_BM_out.171.fa,99.1971
41540,11A_II_BM_out.137.fa,17A_III_BM_out.222.fa,99.5288
41538,11A_II_BM_out.137.fa,6A_II_BM_out.224.fa,99.7037
41539,11A_II_BM_out.137.fa,9A_II_BM_out.68.fa,99.5342
41543,11A_II_BM_out.137.fa,AD148III_FD_BM_out.117.fa,98.4688
41541,11A_II_BM_out.137.fa,AD152III_FD_BM_out.107.fa,99.4408
42662,11A_II_BM_out.139.fa,13A_III_BM_out.161.fa,99.9488
42663,11A_II_BM_out.139.fa,15A_II_BM_out.42.fa,99.9445
42674,11A_II_BM_out.139.fa,17A_III_BM_out.154.fa,99.9102
42667,11A_II_BM_out.139.fa,2AD43II_FD_BM_out.34.fa,99.9339
42677,11A_II_BM_out.139.fa,2AD48II_FD_BM_out.17.fa,99.8845
42665,11A_II_BM_out.139.fa,2AD52I_FD_BM_out.53.fa,99.9387
42678,11A_II_BM_out.139.fa,2AD57I_FD_BM_out.1.fa,99.8737
42676,11A_II_BM_out.139.fa,2AD61I_FD_BM_out.3.fa,99.8857
42672,11A_II_BM_out.139.fa,6A_II_BM_out.210.fa,99.9268
42660,11A_II_BM_out.139.fa,7A_III_BM_out.105.fa,99.9597
42669,11A_II_BM_out.139.fa,8A_II_BM_out.160.fa,99.9298
42659,11A_II_BM_out.139.fa,9A_II_BM_out.204.fa,99.9608
42671,11A_II_BM_out.139.fa,AD118III_FD_BM_out.72.fa,99.9292
42661,11A_II_BM_out.139.fa,AD121II_FD_BM_out.29.fa,99.9583
42668,11A_II_BM_out.139.fa,AD126III_FD_BM_out.4.fa,99.933
42673,11A_II_BM_out.139.fa,AD128I_FD_BM_out.37.fa,99.926
42664,11A_II_BM_out.139.fa,AD132III_FD_BM_out.74.fa,99.9407
42675,11A_II_BM_out.139.fa,AD143II_FD_BM_out.36.fa,99.9081
42670,11A_II_BM_out.139.fa,AD148III_FD_BM_out.95.fa,99.9293
42666,11A_II_BM_out.139.fa,AD152III_FD_BM_out.58.fa,99.9368
42412,11A_II_BM_out.14.fa,13A_III_BM_out.44.fa,99.1103
42404,11A_II_BM_out.14.fa,15A_II_BM_out.125.fa,99.1876
42407,11A_II_BM_out.14.fa,17A_III_BM_out.254.fa,99.1439
42419,11A_II_BM_out.14.fa,2AD43II_FD_BM_out.57.fa,97.7808
42416,11A_II_BM_out.14.fa,6A_II_BM_out.120.fa,98.9404
42405,11A_II_BM_out.14.fa,7A_III_BM_out.175.fa,99.1605
42414,11A_II_BM_out.14.fa,8A_II_BM_out.215.fa,99.0662
42411,11A_II_BM_out.14.fa,9A_II_BM_out.188.fa,99.1182
42409,11A_II_BM_out.14.fa,AD118III_FD_BM_out.67.fa,99.1227
42417,11A_II_BM_out.14.fa,AD121II_FD_BM_out.8.fa,98.4291
42413,11A_II_BM_out.14.fa,AD126III_FD_BM_out.111.fa,99.1008
42418,11A_II_BM_out.14.fa,AD128I_FD_BM_out.66.fa,98.3412
42410,11A_II_BM_out.14.fa,AD132III_FD_BM_out.127.fa,99.12
42408,11A_II_BM_out.14.fa,AD143II_FD_BM_out.45.fa,99.127
42415,11A_II_BM_out.14.fa,AD148III_FD_BM_out.2.fa,99.0417
42406,11A_II_BM_out.14.fa,AD152III_FD_BM_out.116.fa,99.1528
40758,11A_II_BM_out.141.fa,13A_III_BM_out.140.fa,99.988
40757,11A_II_BM_out.141.fa,15A_II_BM_out.119.fa,99.989
40761,11A_II_BM_out.141.fa,17A_III_BM_out.274.fa,99.9713
40765,11A_II_BM_out.141.fa,2AD48II_FD_BM_out.77.fa,99.6169
40759,11A_II_BM_out.141.fa,6A_II_BM_out.190.fa,99.9866
40755,11A_II_BM_out.141.fa,7A_III_BM_out.128.fa,99.9914
40756,11A_II_BM_out.141.fa,8A_II_BM_out.129.fa,99.9898
40763,11A_II_BM_out.141.fa,9A_II_BM_out.35.fa,99.9113
40760,11A_II_BM_out.141.fa,AD118III_FD_BM_out.147.fa,99.9836
40764,11A_II_BM_out.141.fa,AD121II_FD_BM_out.57.fa,99.7294
40766,11A_II_BM_out.141.fa,AD128I_FD_BM_out.33.fa,99.5499
40762,11A_II_BM_out.141.fa,AD148III_FD_BM_out.101.fa,99.9388
40522,11A_II_BM_out.142.fa,13A_III_BM_out.120.fa,99.8984
40515,11A_II_BM_out.142.fa,15A_II_BM_out.104.fa,99.9136
40517,11A_II_BM_out.142.fa,17A_III_BM_out.123.fa,99.9077
40516,11A_II_BM_out.142.fa,2AD43II_FD_BM_out.71.fa,99.9088
40519,11A_II_BM_out.142.fa,2AD48II_FD_BM_out.59.fa,99.9039
40512,11A_II_BM_out.142.fa,2AD57I_FD_BM_out.91.fa,99.9257
40513,11A_II_BM_out.142.fa,2AD61I_FD_BM_out.119.fa,99.925
40511,11A_II_BM_out.142.fa,6A_II_BM_out.39.fa,99.9317
40521,11A_II_BM_out.142.fa,7A_III_BM_out.126.fa,99.8991
40525,11A_II_BM_out.142.fa,8A_II_BM_out.12.fa,99.8712
40529,11A_II_BM_out.142.fa,9A_II_BM_out.60.fa,99.8051
40510,11A_II_BM_out.142.fa,AD118III_FD_BM_out.111.fa,99.9392
40520,11A_II_BM_out.142.fa,AD121II_FD_BM_out.36.fa,99.8998
40523,11A_II_BM_out.142.fa,AD126III_FD_BM_out.36.fa,99.8876
40528,11A_II_BM_out.142.fa,AD128I_FD_BM_out.79.fa,99.8411
40514,11A_II_BM_out.142.fa,AD132III_FD_BM_out.62.fa,99.9168
40526,11A_II_BM_out.142.fa,AD138III_FD_BM_out.73.fa,99.8712
40518,11A_II_BM_out.142.fa,AD143II_FD_BM_out.70.fa,99.9058
40524,11A_II_BM_out.142.fa,AD148III_FD_BM_out.96.fa,99.8827
40527,11A_II_BM_out.142.fa,AD152III_FD_BM_out.140.fa,99.8693
41237,11A_II_BM_out.144.fa,13A_III_BM_out.66.fa,99.9569
41239,11A_II_BM_out.144.fa,15A_II_BM_out.48.fa,99.9421
41241,11A_II_BM_out.144.fa,17A_III_BM_out.164.fa,99.9325
41242,11A_II_BM_out.144.fa,6A_II_BM_out.145.fa,99.7312
41240,11A_II_BM_out.144.fa,7A_III_BM_out.10.fa,99.9388
41238,11A_II_BM_out.144.fa,8A_II_BM_out.75.fa,99.9476
41236,11A_II_BM_out.144.fa,9A_II_BM_out.159.fa,99.9604
41235,11A_II_BM_out.144.fa,AD126III_FD_BM_out.26.fa,99.9837
41296,11A_II_BM_out.145.fa,13A_III_BM_out.43.fa,99.4145
41298,11A_II_BM_out.145.fa,2AD57I_FD_BM_out.104.fa,99.2376
41297,11A_II_BM_out.145.fa,2AD61I_FD_BM_out.48.fa,99.2554
41295,11A_II_BM_out.145.fa,7A_III_BM_out.97.fa,99.4789
41294,11A_II_BM_out.145.fa,8A_II_BM_out.176.fa,99.4911
41293,11A_II_BM_out.145.fa,9A_II_BM_out.113.fa,99.7041
41299,11A_II_BM_out.145.fa,AD152III_FD_BM_out.11.fa,99.2282
41611,11A_II_BM_out.146.fa,13A_III_BM_out.211.fa,99.9485
41602,11A_II_BM_out.146.fa,15A_II_BM_out.106.fa,99.9925
41604,11A_II_BM_out.146.fa,17A_III_BM_out.250.fa,99.9839
