	AD_MAG_1	AD_MAG_2	JaccardIndex
1545356	11A_II/BM_out.109.fa	2AD61I_FD/BM_out.103.fa	0.72
2027904	11A_II/BM_out.109.fa	7A_III/BM_out.160.fa	0.746
2225310	11A_II/BM_out.109.fa	8A_II/BM_out.113.fa	0.758
2480542	11A_II/BM_out.109.fa	9A_II/BM_out.106.fa	0.71
2861396	11A_II/BM_out.109.fa	AD118III_FD/BM_out.8.fa	0.73
2991006	11A_II/BM_out.109.fa	AD121II_FD/BM_out.91.fa	0.736
3349926	11A_II/BM_out.109.fa	AD132III_FD/BM_out.45.fa	0.716
3589206	11A_II/BM_out.109.fa	AD138III_FD/BM_out.37.fa	0.732
3776642	11A_II/BM_out.109.fa	AD148III_FD/BM_out.75.fa	0.738
13966	11A_II/BM_out.110.fa	11A_II/BM_out.110.fa	1
15961	11A_II/BM_out.112.fa	11A_II/BM_out.112.fa	1
17956	11A_II/BM_out.115.fa	11A_II/BM_out.115.fa	1
19951	11A_II/BM_out.116.fa	11A_II/BM_out.116.fa	1
21946	11A_II/BM_out.120.fa	11A_II/BM_out.120.fa	1
681960	11A_II/BM_out.120.fa	15A_II/BM_out.223.fa	0.972
905288	11A_II/BM_out.120.fa	17A_III/BM_out.200.fa	0.964
2733786	11A_II/BM_out.120.fa	AD118III_FD/BM_out.139.fa	0.87
2909258	11A_II/BM_out.120.fa	AD121II_FD/BM_out.33.fa	0.91
3134580	11A_II/BM_out.120.fa	AD126III_FD/BM_out.95.fa	0.91
23941	11A_II/BM_out.121.fa	11A_II/BM_out.121.fa	1
25936	11A_II/BM_out.122.fa	11A_II/BM_out.122.fa	1
27931	11A_II/BM_out.123.fa	11A_II/BM_out.123.fa	1
265217	11A_II/BM_out.123.fa	13A_III/BM_out.119.fa	0.908
771693	11A_II/BM_out.123.fa	15A_II/BM_out.90.fa	0.876
935201	11A_II/BM_out.123.fa	17A_III/BM_out.225.fa	0.862
1142577	11A_II/BM_out.123.fa	2AD43II_FD/BM_out.31.fa	0.744
1258229	11A_II/BM_out.123.fa	2AD48II_FD/BM_out.35.fa	0.828
2444659	11A_II/BM_out.123.fa	8A_II/BM_out.73.fa	0.844
2644059	11A_II/BM_out.123.fa	9A_II/BM_out.58.fa	0.858
2841465	11A_II/BM_out.123.fa	AD118III_FD/BM_out.7.fa	0.852
2985033	11A_II/BM_out.123.fa	AD121II_FD/BM_out.88.fa	0.858
3058811	11A_II/BM_out.123.fa	AD126III_FD/BM_out.43.fa	0.8
3184433	11A_II/BM_out.123.fa	AD128I_FD/BM_out.38.fa	0.786
3401779	11A_II/BM_out.123.fa	AD132III_FD/BM_out.76.fa	0.758
3489515	11A_II/BM_out.123.fa	AD143II_FD/BM_out.56.fa	0.796
3543353	11A_II/BM_out.123.fa	AD138III_FD/BM_out.100.fa	0.708
3732783	11A_II/BM_out.123.fa	AD148III_FD/BM_out.35.fa	0.744
3904267	11A_II/BM_out.123.fa	AD152III_FD/BM_out.47.fa	0.86
29926	11A_II/BM_out.124.fa	11A_II/BM_out.124.fa	1
31921	11A_II/BM_out.128.fa	11A_II/BM_out.128.fa	1
33916	11A_II/BM_out.129.fa	11A_II/BM_out.129.fa	1
49876	11A_II/BM_out.13.fa	11A_II/BM_out.13.fa	1
382874	11A_II/BM_out.13.fa	13A_III/BM_out.207.fa	0.954
622154	11A_II/BM_out.13.fa	15A_II/BM_out.182.fa	0.876
1856440	11A_II/BM_out.13.fa	6A_II/BM_out.32.fa	0.878
2119648	11A_II/BM_out.13.fa	7A_III/BM_out.34.fa	0.784
2356934	11A_II/BM_out.13.fa	8A_II/BM_out.213.fa	0.796
2522436	11A_II/BM_out.13.fa	9A_II/BM_out.146.fa	0.898
35911	11A_II/BM_out.130.fa	11A_II/BM_out.130.fa	1
430723	11A_II/BM_out.130.fa	13A_III/BM_out.29.fa	0.856
612177	11A_II/BM_out.130.fa	15A_II/BM_out.167.fa	0.856
799613	11A_II/BM_out.130.fa	17A_III/BM_out.117.fa	0.77
1200407	11A_II/BM_out.130.fa	2AD43II_FD/BM_out.74.fa	0.792
1337993	11A_II/BM_out.130.fa	2AD48II_FD/BM_out.95.fa	0.766
1381861	11A_II/BM_out.130.fa	2AD52I_FD/BM_out.51.fa	0.746
1533405	11A_II/BM_out.130.fa	2AD57I_FD/BM_out.94.fa	0.772
1629117	11A_II/BM_out.130.fa	2AD61I_FD/BM_out.57.fa	0.776
1906283	11A_II/BM_out.130.fa	6A_II/BM_out.80.fa	0.788
2143569	11A_II/BM_out.130.fa	7A_III/BM_out.4.fa	0.798
2279161	11A_II/BM_out.130.fa	8A_II/BM_out.14.fa	0.804
2596207	11A_II/BM_out.130.fa	9A_II/BM_out.212.fa	0.804
2765697	11A_II/BM_out.130.fa	AD118III_FD/BM_out.164.fa	0.844
2971079	11A_II/BM_out.130.fa	AD121II_FD/BM_out.75.fa	0.808
3108665	11A_II/BM_out.130.fa	AD126III_FD/BM_out.78.fa	0.854
3146551	11A_II/BM_out.130.fa	AD128I_FD/BM_out.13.fa	0.86
3409759	11A_II/BM_out.130.fa	AD132III_FD/BM_out.86.fa	0.862
3527405	11A_II/BM_out.130.fa	AD143II_FD/BM_out.85.fa	0.762
3700883	11A_II/BM_out.130.fa	AD148III_FD/BM_out.13.fa	0.812
3832487	11A_II/BM_out.130.fa	AD152III_FD/BM_out.117.fa	0.734
37906	11A_II/BM_out.131.fa	11A_II/BM_out.131.fa	1
488550	11A_II/BM_out.131.fa	13A_III/BM_out.73.fa	0.708
39901	11A_II/BM_out.132.fa	11A_II/BM_out.132.fa	1
500515	11A_II/BM_out.132.fa	13A_III/BM_out.83.fa	0.746
765717	11A_II/BM_out.132.fa	15A_II/BM_out.83.fa	0.744
2402791	11A_II/BM_out.132.fa	8A_II/BM_out.49.fa	0.766
41896	11A_II/BM_out.134.fa	11A_II/BM_out.134.fa	1
340996	11A_II/BM_out.134.fa	13A_III/BM_out.173.fa	0.862
755748	11A_II/BM_out.134.fa	15A_II/BM_out.74.fa	0.88
1012974	11A_II/BM_out.134.fa	17A_III/BM_out.284.fa	0.856
1154548	11A_II/BM_out.134.fa	2AD43II_FD/BM_out.3.fa	0.844
1254248	11A_II/BM_out.134.fa	2AD48II_FD/BM_out.31.fa	0.832
1503498	11A_II/BM_out.134.fa	2AD57I_FD/BM_out.73.fa	0.834
1559330	11A_II/BM_out.134.fa	2AD61I_FD/BM_out.117.fa	0.89
1918250	11A_II/BM_out.134.fa	6A_II/BM_out.88.fa	0.894
2101698	11A_II/BM_out.134.fa	7A_III/BM_out.235.fa	0.868
2424726	11A_II/BM_out.134.fa	8A_II/BM_out.62.fa	0.852
2518444	11A_II/BM_out.134.fa	9A_II/BM_out.144.fa	0.876
2767694	11A_II/BM_out.134.fa	AD118III_FD/BM_out.16.fa	0.88
2911262	11A_II/BM_out.134.fa	AD121II_FD/BM_out.34.fa	0.838
3126614	11A_II/BM_out.134.fa	AD126III_FD/BM_out.89.fa	0.874
3162506	11A_II/BM_out.134.fa	AD128I_FD/BM_out.21.fa	0.908
3324020	11A_II/BM_out.134.fa	AD132III_FD/BM_out.29.fa	0.884
3433690	11A_II/BM_out.134.fa	AD143II_FD/BM_out.10.fa	0.85
3591216	11A_II/BM_out.134.fa	AD138III_FD/BM_out.3.fa	0.81
3790616	11A_II/BM_out.134.fa	AD148III_FD/BM_out.85.fa	0.85
3906268	11A_II/BM_out.134.fa	AD152III_FD/BM_out.48.fa	0.842
43891	11A_II/BM_out.135.fa	11A_II/BM_out.135.fa	1
502511	11A_II/BM_out.135.fa	13A_III/BM_out.85.fa	0.866
709887	11A_II/BM_out.135.fa	15A_II/BM_out.31.fa	0.868
875389	11A_II/BM_out.135.fa	17A_III/BM_out.16.fa	0.868
1126633	11A_II/BM_out.135.fa	2AD43II_FD/BM_out.21.fa	0.88
1282165	11A_II/BM_out.135.fa	2AD48II_FD/BM_out.55.fa	0.902
1459631	11A_II/BM_out.135.fa	2AD57I_FD/BM_out.41.fa	0.882
1571295	11A_II/BM_out.135.fa	2AD61I_FD/BM_out.13.fa	0.9
1832509	11A_II/BM_out.135.fa	6A_II/BM_out.221.fa	0.894
2157531	11A_II/BM_out.135.fa	7A_III/BM_out.61.fa	0.896
2408775	11A_II/BM_out.135.fa	8A_II/BM_out.52.fa	0.844
2626121	11A_II/BM_out.135.fa	9A_II/BM_out.41.fa	0.888
2711863	11A_II/BM_out.135.fa	AD118III_FD/BM_out.119.fa	0.85
2955131	11A_II/BM_out.135.fa	AD121II_FD/BM_out.63.fa	0.788
3030903	11A_II/BM_out.135.fa	AD126III_FD/BM_out.25.fa	0.884
3176465	11A_II/BM_out.135.fa	AD128I_FD/BM_out.31.fa	0.868
3696899	11A_II/BM_out.135.fa	AD148III_FD/BM_out.120.fa	0.878
3848443	11A_II/BM_out.135.fa	AD152III_FD/BM_out.129.fa	0.876
45886	11A_II/BM_out.137.fa	11A_II/BM_out.137.fa	1
47881	11A_II/BM_out.139.fa	11A_II/BM_out.139.fa	1
323053	11A_II/BM_out.139.fa	13A_III/BM_out.161.fa	0.912
721853	11A_II/BM_out.139.fa	15A_II/BM_out.42.fa	0.936
847475	11A_II/BM_out.139.fa	17A_III/BM_out.154.fa	0.92
1146575	11A_II/BM_out.139.fa	2AD43II_FD/BM_out.34.fa	0.91
1236305	11A_II/BM_out.139.fa	2AD48II_FD/BM_out.17.fa	0.906
1385855	11A_II/BM_out.139.fa	2AD52I_FD/BM_out.53.fa	0.898
1431717	11A_II/BM_out.139.fa	2AD57I_FD/BM_out.1.fa	0.89
1603201	11A_II/BM_out.139.fa	2AD61I_FD/BM_out.3.fa	0.884
1818553	11A_II/BM_out.139.fa	6A_II/BM_out.210.fa	0.846
1948163	11A_II/BM_out.139.fa	7A_III/BM_out.105.fa	0.93
2287143	11A_II/BM_out.139.fa	8A_II/BM_out.160.fa	0.918
2584249	11A_II/BM_out.139.fa	9A_II/BM_out.204.fa	0.924
2835493	11A_II/BM_out.139.fa	AD118III_FD/BM_out.72.fa	0.908
2901295	11A_II/BM_out.139.fa	AD121II_FD/BM_out.29.fa	0.916
3068791	11A_II/BM_out.139.fa	AD126III_FD/BM_out.4.fa	0.91
3182449	11A_II/BM_out.139.fa	AD128I_FD/BM_out.37.fa	0.918
3397801	11A_II/BM_out.139.fa	AD132III_FD/BM_out.74.fa	0.916
3461609	11A_II/BM_out.139.fa	AD143II_FD/BM_out.36.fa	0.88
3804577	11A_II/BM_out.139.fa	AD148III_FD/BM_out.95.fa	0.9
3914247	11A_II/BM_out.139.fa	AD152III_FD/BM_out.58.fa	0.902
65836	11A_II/BM_out.14.fa	11A_II/BM_out.14.fa	1
51871	11A_II/BM_out.141.fa	11A_II/BM_out.141.fa	1
295139	11A_II/BM_out.141.fa	13A_III/BM_out.140.fa	0.888
552365	11A_II/BM_out.141.fa	15A_II/BM_out.119.fa	0.932
999021	11A_II/BM_out.141.fa	17A_III/BM_out.274.fa	0.952
1316067	11A_II/BM_out.141.fa	2AD48II_FD/BM_out.77.fa	0.824
1796621	11A_II/BM_out.141.fa	6A_II/BM_out.190.fa	0.872
1986051	11A_II/BM_out.141.fa	7A_III/BM_out.128.fa	0.976
2616155	11A_II/BM_out.141.fa	9A_II/BM_out.35.fa	0.838
2947159	11A_II/BM_out.141.fa	AD121II_FD/BM_out.57.fa	0.86
3178463	11A_II/BM_out.141.fa	AD128I_FD/BM_out.33.fa	0.778
3672975	11A_II/BM_out.141.fa	AD148III_FD/BM_out.101.fa	0.88
53866	11A_II/BM_out.142.fa	11A_II/BM_out.142.fa	1
269218	11A_II/BM_out.142.fa	13A_III/BM_out.120.fa	0.89
530432	11A_II/BM_out.142.fa	15A_II/BM_out.104.fa	0.886
809592	11A_II/BM_out.142.fa	17A_III/BM_out.123.fa	0.892
1196428	11A_II/BM_out.142.fa	2AD43II_FD/BM_out.71.fa	0.85
1286158	11A_II/BM_out.142.fa	2AD48II_FD/BM_out.59.fa	0.814
1531420	11A_II/BM_out.142.fa	2AD57I_FD/BM_out.91.fa	0.852
1563324	11A_II/BM_out.142.fa	2AD61I_FD/BM_out.119.fa	0.888
1860430	11A_II/BM_out.142.fa	6A_II/BM_out.39.fa	0.882
1984058	11A_II/BM_out.142.fa	7A_III/BM_out.126.fa	0.906
2255242	11A_II/BM_out.142.fa	8A_II/BM_out.12.fa	0.898
2648060	11A_II/BM_out.142.fa	9A_II/BM_out.60.fa	0.876
2705886	11A_II/BM_out.142.fa	AD118III_FD/BM_out.111.fa	0.892
2913262	11A_II/BM_out.142.fa	AD121II_FD/BM_out.36.fa	0.87
3046860	11A_II/BM_out.142.fa	AD126III_FD/BM_out.36.fa	0.874
3242272	11A_II/BM_out.142.fa	AD128I_FD/BM_out.79.fa	0.862
3375870	11A_II/BM_out.142.fa	AD132III_FD/BM_out.62.fa	0.864
3505480	11A_II/BM_out.142.fa	AD143II_FD/BM_out.70.fa	0.876
3637084	11A_II/BM_out.142.fa	AD138III_FD/BM_out.73.fa	0.868
3806574	11A_II/BM_out.142.fa	AD148III_FD/BM_out.96.fa	0.864
3862406	11A_II/BM_out.142.fa	AD152III_FD/BM_out.140.fa	0.83
55861	11A_II/BM_out.144.fa	11A_II/BM_out.144.fa	1
474601	11A_II/BM_out.144.fa	13A_III/BM_out.66.fa	0.946
865425	11A_II/BM_out.144.fa	17A_III/BM_out.164.fa	0.798
1754749	11A_II/BM_out.144.fa	6A_II/BM_out.145.fa	0.744
1958137	11A_II/BM_out.144.fa	7A_III/BM_out.10.fa	0.824
2448661	11A_II/BM_out.144.fa	8A_II/BM_out.75.fa	0.838
2540385	11A_II/BM_out.144.fa	9A_II/BM_out.159.fa	0.9
3032903	11A_II/BM_out.144.fa	AD126III_FD/BM_out.26.fa	0.822
57856	11A_II/BM_out.145.fa	11A_II/BM_out.145.fa	1
448680	11A_II/BM_out.145.fa	13A_III/BM_out.43.fa	0.712
2205394	11A_II/BM_out.145.fa	7A_III/BM_out.97.fa	0.716
2492530	11A_II/BM_out.145.fa	9A_II/BM_out.113.fa	0.748
59851	11A_II/BM_out.146.fa	11A_II/BM_out.146.fa	1
390855	11A_II/BM_out.146.fa	13A_III/BM_out.211.fa	0.854
532429	11A_II/BM_out.146.fa	15A_II/BM_out.106.fa	0.908
971109	11A_II/BM_out.146.fa	17A_III/BM_out.250.fa	0.914
1188455	11A_II/BM_out.146.fa	2AD43II_FD/BM_out.65.fa	0.852
1393837	11A_II/BM_out.146.fa	2AD52I_FD/BM_out.6.fa	0.714
1423747	11A_II/BM_out.146.fa	2AD57I_FD/BM_out.121.fa	0.708
1678979	11A_II/BM_out.146.fa	2AD61I_FD/BM_out.98.fa	0.92
1786655	11A_II/BM_out.146.fa	6A_II/BM_out.175.fa	0.828
2073791	11A_II/BM_out.146.fa	7A_III/BM_out.206.fa	0.924
2293131	11A_II/BM_out.146.fa	8A_II/BM_out.166.fa	0.932
2570297	11A_II/BM_out.146.fa	9A_II/BM_out.187.fa	0.8
2893325	11A_II/BM_out.146.fa	AD121II_FD/BM_out.25.fa	0.918
3136593	11A_II/BM_out.146.fa	AD126III_FD/BM_out.97.fa	0.858
3254239	11A_II/BM_out.146.fa	AD128I_FD/BM_out.86.fa	0.83
3561315	11A_II/BM_out.146.fa	AD138III_FD/BM_out.18.fa	0.926
3772679	11A_II/BM_out.146.fa	AD148III_FD/BM_out.71.fa	0.918
61846	11A_II/BM_out.148.fa	11A_II/BM_out.148.fa	1
723854	11A_II/BM_out.148.fa	15A_II/BM_out.45.fa	0.968
1848470	11A_II/BM_out.148.fa	6A_II/BM_out.26.fa	0.902
2131618	11A_II/BM_out.148.fa	7A_III/BM_out.41.fa	0.946
2366910	11A_II/BM_out.148.fa	8A_II/BM_out.219.fa	0.936
2560328	11A_II/BM_out.148.fa	9A_II/BM_out.178.fa	0.954
63841	11A_II/BM_out.149.fa	11A_II/BM_out.149.fa	1
83791	11A_II/BM_out.15.fa	11A_II/BM_out.15.fa	1
67831	11A_II/BM_out.150.fa	11A_II/BM_out.150.fa	1
370919	11A_II/BM_out.150.fa	13A_III/BM_out.200.fa	0.83
578295	11A_II/BM_out.150.fa	15A_II/BM_out.139.fa	0.854
1032927	11A_II/BM_out.150.fa	17A_III/BM_out.36.fa	0.848
1266225	11A_II/BM_out.150.fa	2AD48II_FD/BM_out.41.fa	0.816
1345985	11A_II/BM_out.150.fa	2AD52I_FD/BM_out.15.fa	0.754
1463631	11A_II/BM_out.150.fa	2AD57I_FD/BM_out.43.fa	0.782
1595235	11A_II/BM_out.150.fa	2AD61I_FD/BM_out.31.fa	0.722
1858443	11A_II/BM_out.150.fa	6A_II/BM_out.37.fa	0.872
2189447	11A_II/BM_out.150.fa	7A_III/BM_out.81.fa	0.868
2223345	11A_II/BM_out.150.fa	8A_II/BM_out.112.fa	0.886
2500511	11A_II/BM_out.150.fa	9A_II/BM_out.120.fa	0.886
2875383	11A_II/BM_out.150.fa	AD118III_FD/BM_out.9.fa	0.822
2889341	11A_II/BM_out.150.fa	AD121II_FD/BM_out.23.fa	0.8
3112669	11A_II/BM_out.150.fa	AD126III_FD/BM_out.80.fa	0.828
3158531	11A_II/BM_out.150.fa	AD128I_FD/BM_out.19.fa	0.85
3481559	11A_II/BM_out.150.fa	AD143II_FD/BM_out.49.fa	0.798
3758725	11A_II/BM_out.150.fa	AD148III_FD/BM_out.59.fa	0.788
3910269	11A_II/BM_out.150.fa	AD152III_FD/BM_out.53.fa	0.798
69826	11A_II/BM_out.151.fa	11A_II/BM_out.151.fa	1
71821	11A_II/BM_out.152.fa	11A_II/BM_out.152.fa	1
293155	11A_II/BM_out.152.fa	13A_III/BM_out.13.fa	0.814
701925	11A_II/BM_out.152.fa	15A_II/BM_out.23.fa	0.778
815583	11A_II/BM_out.152.fa	17A_III/BM_out.131.fa	0.82
1764727	11A_II/BM_out.152.fa	6A_II/BM_out.157.fa	0.822
1956151	11A_II/BM_out.152.fa	7A_III/BM_out.109.fa	0.828
2418759	11A_II/BM_out.152.fa	8A_II/BM_out.5.fa	0.83
2654051	11A_II/BM_out.152.fa	9A_II/BM_out.65.fa	0.812
73816	11A_II/BM_out.153.fa	11A_II/BM_out.153.fa	1
733830	11A_II/BM_out.153.fa	15A_II/BM_out.53.fa	0.72
797638	11A_II/BM_out.153.fa	17A_III/BM_out.111.fa	0.796
2662028	11A_II/BM_out.153.fa	9A_II/BM_out.70.fa	0.768
75811	11A_II/BM_out.154.fa	11A_II/BM_out.154.fa	1
299139	11A_II/BM_out.154.fa	13A_III/BM_out.144.fa	0.756
745795	11A_II/BM_out.154.fa	15A_II/BM_out.66.fa	0.782
879393	11A_II/BM_out.154.fa	17A_III/BM_out.174.fa	0.792
1870411	11A_II/BM_out.154.fa	6A_II/BM_out.46.fa	0.756
2099721	11A_II/BM_out.154.fa	7A_III/BM_out.232.fa	0.736
2650065	11A_II/BM_out.154.fa	9A_II/BM_out.63.fa	0.742
77806	11A_II/BM_out.157.fa	11A_II/BM_out.157.fa	1
79801	11A_II/BM_out.158.fa	11A_II/BM_out.158.fa	1
81796	11A_II/BM_out.159.fa	11A_II/BM_out.159.fa	1
1716876	11A_II/BM_out.159.fa	6A_II/BM_out.122.fa	0.708
3665014	11A_II/BM_out.159.fa	AD138III_FD/BM_out.96.fa	0.708
99751	11A_II/BM_out.16.fa	11A_II/BM_out.16.fa	1
442719	11A_II/BM_out.16.fa	13A_III/BM_out.3.fa	0.77
660065	11A_II/BM_out.16.fa	15A_II/BM_out.208.fa	0.836
1218385	11A_II/BM_out.16.fa	2AD43II_FD/BM_out.88.fa	0.804
1276211	11A_II/BM_out.16.fa	2AD48II_FD/BM_out.4.fa	0.834
1417785	11A_II/BM_out.16.fa	2AD57I_FD/BM_out.114.fa	0.764
1798639	11A_II/BM_out.16.fa	6A_II/BM_out.193.fa	0.838
2079793	11A_II/BM_out.16.fa	7A_III/BM_out.210.fa	0.79
2400827	11A_II/BM_out.16.fa	8A_II/BM_out.47.fa	0.734
2618173	11A_II/BM_out.16.fa	9A_II/BM_out.36.fa	0.82
2729837	11A_II/BM_out.16.fa	AD118III_FD/BM_out.137.fa	0.8
2965129	11A_II/BM_out.16.fa	AD121II_FD/BM_out.6.fa	0.816
3100721	11A_II/BM_out.16.fa	AD126III_FD/BM_out.72.fa	0.854
3250271	11A_II/BM_out.16.fa	AD128I_FD/BM_out.83.fa	0.832
3379881	11A_II/BM_out.16.fa	AD132III_FD/BM_out.64.fa	0.822
3513479	11A_II/BM_out.16.fa	AD143II_FD/BM_out.76.fa	0.816
3780675	11A_II/BM_out.16.fa	AD148III_FD/BM_out.78.fa	0.794
3822549	11A_II/BM_out.16.fa	AD152III_FD/BM_out.109.fa	0.844
85786	11A_II/BM_out.160.fa	11A_II/BM_out.160.fa	1
392862	11A_II/BM_out.160.fa	13A_III/BM_out.212.fa	0.948
87781	11A_II/BM_out.161.fa	11A_II/BM_out.161.fa	1
873417	11A_II/BM_out.161.fa	17A_III/BM_out.169.fa	0.708
3840489	11A_II/BM_out.161.fa	AD152III_FD/BM_out.120.fa	0.704
89776	11A_II/BM_out.162.fa	11A_II/BM_out.162.fa	1
91771	11A_II/BM_out.165.fa	11A_II/BM_out.165.fa	1
93766	11A_II/BM_out.166.fa	11A_II/BM_out.166.fa	1
95761	11A_II/BM_out.167.fa	11A_II/BM_out.167.fa	1
329059	11A_II/BM_out.167.fa	13A_III/BM_out.166.fa	0.852
614201	11A_II/BM_out.167.fa	15A_II/BM_out.169.fa	0.852
821577	11A_II/BM_out.167.fa	17A_III/BM_out.134.fa	0.86
1808607	11A_II/BM_out.167.fa	6A_II/BM_out.200.fa	0.842
1974109	11A_II/BM_out.167.fa	7A_III/BM_out.120.fa	0.858
2382879	11A_II/BM_out.167.fa	8A_II/BM_out.35.fa	0.856
2604213	11A_II/BM_out.167.fa	9A_II/BM_out.220.fa	0.84
2777691	11A_II/BM_out.167.fa	AD118III_FD/BM_out.33.fa	0.86
2927241	11A_II/BM_out.167.fa	AD121II_FD/BM_out.44.fa	0.878
3413777	11A_II/BM_out.167.fa	AD132III_FD/BM_out.88.fa	0.856
3553357	11A_II/BM_out.167.fa	AD138III_FD/BM_out.13.fa	0.834
3774691	11A_II/BM_out.167.fa	AD148III_FD/BM_out.72.fa	0.81
97756	11A_II/BM_out.169.fa	11A_II/BM_out.169.fa	1
350994	11A_II/BM_out.169.fa	13A_III/BM_out.183.fa	0.88
652088	11A_II/BM_out.169.fa	15A_II/BM_out.201.fa	0.924
899344	11A_II/BM_out.169.fa	17A_III/BM_out.195.fa	0.934
1846494	11A_II/BM_out.169.fa	6A_II/BM_out.25.fa	0.918
2059852	11A_II/BM_out.169.fa	7A_III/BM_out.194.fa	0.918
2317078	11A_II/BM_out.169.fa	8A_II/BM_out.187.fa	0.942
2544394	11A_II/BM_out.169.fa	9A_II/BM_out.164.fa	0.934
117706	11A_II/BM_out.17.fa	11A_II/BM_out.17.fa	1
101746	11A_II/BM_out.170.fa	11A_II/BM_out.170.fa	1
103741	11A_II/BM_out.171.fa	11A_II/BM_out.171.fa	1
508523	11A_II/BM_out.171.fa	13A_III/BM_out.8.fa	0.718
1182495	11A_II/BM_out.171.fa	2AD43II_FD/BM_out.59.fa	0.702
1288177	11A_II/BM_out.171.fa	2AD48II_FD/BM_out.5.fa	0.714
1838521	11A_II/BM_out.171.fa	6A_II/BM_out.226.fa	0.72
2470619	11A_II/BM_out.171.fa	8A_II/BM_out.99.fa	0.758
2666031	11A_II/BM_out.171.fa	9A_II/BM_out.73.fa	0.76
2763737	11A_II/BM_out.171.fa	AD118III_FD/BM_out.163.fa	0.736
2975101	11A_II/BM_out.171.fa	AD121II_FD/BM_out.78.fa	0.734
3090753	11A_II/BM_out.171.fa	AD126III_FD/BM_out.66.fa	0.738
3264231	11A_II/BM_out.171.fa	AD128I_FD/BM_out.92.fa	0.718
3421757	11A_II/BM_out.171.fa	AD132III_FD/BM_out.94.fa	0.742
105736	11A_II/BM_out.172.fa	11A_II/BM_out.172.fa	1
107731	11A_II/BM_out.173.fa	11A_II/BM_out.173.fa	1
