"","AD_MAG_1","AD_MAG_2","JaccardIndex"
"3134580","11A_II_BM_out.120.fa","AD126III_FD_BM_out.95.fa",0.91
"2733786","11A_II_BM_out.120.fa","AD118III_FD_BM_out.139.fa",0.87
"1920234","11A_II_BM_out.120.fa","6A_II_BM_out.89.fa",0.67
"281166","11A_II_BM_out.120.fa","13A_III_BM_out.12.fa",0.644
"2083743","11A_II_BM_out.121.fa","7A_III_BM_out.213.fa",0.656
"1746757","11A_II_BM_out.121.fa","6A_II_BM_out.140.fa",0.552
"2638075","11A_II_BM_out.121.fa","9A_II_BM_out.50.fa",0.55
"1016954","11A_II_BM_out.122.fa","17A_III_BM_out.288.fa",0.532
"265217","11A_II_BM_out.123.fa","13A_III_BM_out.119.fa",0.908
"771693","11A_II_BM_out.123.fa","15A_II_BM_out.90.fa",0.876
"935201","11A_II_BM_out.123.fa","17A_III_BM_out.225.fa",0.862
"3904267","11A_II_BM_out.123.fa","AD152III_FD_BM_out.47.fa",0.86
"2644059","11A_II_BM_out.123.fa","9A_II_BM_out.58.fa",0.858
"2985033","11A_II_BM_out.123.fa","AD121II_FD_BM_out.88.fa",0.858
"2841465","11A_II_BM_out.123.fa","AD118III_FD_BM_out.7.fa",0.852
"2444659","11A_II_BM_out.123.fa","8A_II_BM_out.73.fa",0.844
"1258229","11A_II_BM_out.123.fa","2AD48II_FD_BM_out.35.fa",0.828
"3058811","11A_II_BM_out.123.fa","AD126III_FD_BM_out.43.fa",0.8
"3489515","11A_II_BM_out.123.fa","AD143II_FD_BM_out.56.fa",0.796
"3184433","11A_II_BM_out.123.fa","AD128I_FD_BM_out.38.fa",0.786
"3401779","11A_II_BM_out.123.fa","AD132III_FD_BM_out.76.fa",0.758
"1142577","11A_II_BM_out.123.fa","2AD43II_FD_BM_out.31.fa",0.744
"3732783","11A_II_BM_out.123.fa","AD148III_FD_BM_out.35.fa",0.744
"3543353","11A_II_BM_out.123.fa","AD138III_FD_BM_out.100.fa",0.708
"2687928","11A_II_BM_out.124.fa","9A_II_BM_out.89.fa",0.6
"3036878","11A_II_BM_out.124.fa","AD126III_FD_BM_out.28.fa",0.576
"1970088","11A_II_BM_out.124.fa","7A_III_BM_out.118.fa",0.542
"1892322","11A_II_BM_out.124.fa","6A_II_BM_out.67.fa",0.502
"3335978","11A_II_BM_out.124.fa","AD132III_FD_BM_out.36.fa",0.5
"267212","11A_II_BM_out.124.fa","13A_III_BM_out.11.fa",0.476
"3212350","11A_II_BM_out.124.fa","AD128I_FD_BM_out.58.fa",0.4
"3613146","11A_II_BM_out.129.fa","AD138III_FD_BM_out.55.fa",0.364
"1706882","11A_II_BM_out.129.fa","6A_II_BM_out.114.fa",0.304
"382874","11A_II_BM_out.13.fa","13A_III_BM_out.207.fa",0.954
"2522436","11A_II_BM_out.13.fa","9A_II_BM_out.146.fa",0.898
"1856440","11A_II_BM_out.13.fa","6A_II_BM_out.32.fa",0.878
"622154","11A_II_BM_out.13.fa","15A_II_BM_out.182.fa",0.876
"2356934","11A_II_BM_out.13.fa","8A_II_BM_out.213.fa",0.796
"2119648","11A_II_BM_out.13.fa","7A_III_BM_out.34.fa",0.784
"2719842","11A_II_BM_out.13.fa","AD118III_FD_BM_out.126.fa",0.63
"3760710","11A_II_BM_out.13.fa","AD148III_FD_BM_out.60.fa",0.51
"973098","11A_II_BM_out.13.fa","17A_III_BM_out.252.fa",0.374
"3409759","11A_II_BM_out.130.fa","AD132III_FD_BM_out.86.fa",0.862
"3146551","11A_II_BM_out.130.fa","AD128I_FD_BM_out.13.fa",0.86
"430723","11A_II_BM_out.130.fa","13A_III_BM_out.29.fa",0.856
"612177","11A_II_BM_out.130.fa","15A_II_BM_out.167.fa",0.856
"3108665","11A_II_BM_out.130.fa","AD126III_FD_BM_out.78.fa",0.854
"2765697","11A_II_BM_out.130.fa","AD118III_FD_BM_out.164.fa",0.844
"3700883","11A_II_BM_out.130.fa","AD148III_FD_BM_out.13.fa",0.812
"2971079","11A_II_BM_out.130.fa","AD121II_FD_BM_out.75.fa",0.808
"2279161","11A_II_BM_out.130.fa","8A_II_BM_out.14.fa",0.804
"2596207","11A_II_BM_out.130.fa","9A_II_BM_out.212.fa",0.804
"2143569","11A_II_BM_out.130.fa","7A_III_BM_out.4.fa",0.798
"1200407","11A_II_BM_out.130.fa","2AD43II_FD_BM_out.74.fa",0.792
"1906283","11A_II_BM_out.130.fa","6A_II_BM_out.80.fa",0.788
"1629117","11A_II_BM_out.130.fa","2AD61I_FD_BM_out.57.fa",0.776
"1533405","11A_II_BM_out.130.fa","2AD57I_FD_BM_out.94.fa",0.772
"799613","11A_II_BM_out.130.fa","17A_III_BM_out.117.fa",0.77
"1337993","11A_II_BM_out.130.fa","2AD48II_FD_BM_out.95.fa",0.766
"3527405","11A_II_BM_out.130.fa","AD143II_FD_BM_out.85.fa",0.762
"1381861","11A_II_BM_out.130.fa","2AD52I_FD_BM_out.51.fa",0.746
"3832487","11A_II_BM_out.130.fa","AD152III_FD_BM_out.117.fa",0.734
"488550","11A_II_BM_out.131.fa","13A_III_BM_out.73.fa",0.708
"1718848","11A_II_BM_out.131.fa","6A_II_BM_out.123.fa",0.678
"1056840","11A_II_BM_out.131.fa","17A_III_BM_out.61.fa",0.664
"3298096","11A_II_BM_out.131.fa","AD132III_FD_BM_out.122.fa",0.658
"2273180","11A_II_BM_out.131.fa","8A_II_BM_out.144.fa",0.632
"2494514","11A_II_BM_out.131.fa","9A_II_BM_out.114.fa",0.626
"713872","11A_II_BM_out.131.fa","15A_II_BM_out.35.fa",0.612
"2089732","11A_II_BM_out.131.fa","7A_III_BM_out.221.fa",0.548
"2402791","11A_II_BM_out.132.fa","8A_II_BM_out.49.fa",0.766
"500515","11A_II_BM_out.132.fa","13A_III_BM_out.83.fa",0.746
"765717","11A_II_BM_out.132.fa","15A_II_BM_out.83.fa",0.744
"959135","11A_II_BM_out.132.fa","17A_III_BM_out.242.fa",0.628
"2121637","11A_II_BM_out.132.fa","7A_III_BM_out.35.fa",0.61
"1768699","11A_II_BM_out.132.fa","6A_II_BM_out.160.fa",0.56
"3140571","11A_II_BM_out.132.fa","AD126III_FD_BM_out.9.fa",0.524
"3162506","11A_II_BM_out.134.fa","AD128I_FD_BM_out.21.fa",0.908
"1918250","11A_II_BM_out.134.fa","6A_II_BM_out.88.fa",0.894
"1559330","11A_II_BM_out.134.fa","2AD61I_FD_BM_out.117.fa",0.89
"3324020","11A_II_BM_out.134.fa","AD132III_FD_BM_out.29.fa",0.884
"755748","11A_II_BM_out.134.fa","15A_II_BM_out.74.fa",0.88
"2767694","11A_II_BM_out.134.fa","AD118III_FD_BM_out.16.fa",0.88
"2518444","11A_II_BM_out.134.fa","9A_II_BM_out.144.fa",0.876
"3126614","11A_II_BM_out.134.fa","AD126III_FD_BM_out.89.fa",0.874
"2101698","11A_II_BM_out.134.fa","7A_III_BM_out.235.fa",0.868
"340996","11A_II_BM_out.134.fa","13A_III_BM_out.173.fa",0.862
"1012974","11A_II_BM_out.134.fa","17A_III_BM_out.284.fa",0.856
"2424726","11A_II_BM_out.134.fa","8A_II_BM_out.62.fa",0.852
"3433690","11A_II_BM_out.134.fa","AD143II_FD_BM_out.10.fa",0.85
"3790616","11A_II_BM_out.134.fa","AD148III_FD_BM_out.85.fa",0.85
"1154548","11A_II_BM_out.134.fa","2AD43II_FD_BM_out.3.fa",0.844
"3906268","11A_II_BM_out.134.fa","AD152III_FD_BM_out.48.fa",0.842
"2911262","11A_II_BM_out.134.fa","AD121II_FD_BM_out.34.fa",0.838
"1503498","11A_II_BM_out.134.fa","2AD57I_FD_BM_out.73.fa",0.834
"1254248","11A_II_BM_out.134.fa","2AD48II_FD_BM_out.31.fa",0.832
"3591216","11A_II_BM_out.134.fa","AD138III_FD_BM_out.3.fa",0.81
"1351954","11A_II_BM_out.134.fa","2AD52I_FD_BM_out.22.fa",0.586
"1282165","11A_II_BM_out.135.fa","2AD48II_FD_BM_out.55.fa",0.902
"1571295","11A_II_BM_out.135.fa","2AD61I_FD_BM_out.13.fa",0.9
"2157531","11A_II_BM_out.135.fa","7A_III_BM_out.61.fa",0.896
"1832509","11A_II_BM_out.135.fa","6A_II_BM_out.221.fa",0.894
"2626121","11A_II_BM_out.135.fa","9A_II_BM_out.41.fa",0.888
"3030903","11A_II_BM_out.135.fa","AD126III_FD_BM_out.25.fa",0.884
"1459631","11A_II_BM_out.135.fa","2AD57I_FD_BM_out.41.fa",0.882
"1126633","11A_II_BM_out.135.fa","2AD43II_FD_BM_out.21.fa",0.88
"3696899","11A_II_BM_out.135.fa","AD148III_FD_BM_out.120.fa",0.878
"3848443","11A_II_BM_out.135.fa","AD152III_FD_BM_out.129.fa",0.876
"709887","11A_II_BM_out.135.fa","15A_II_BM_out.31.fa",0.868
"875389","11A_II_BM_out.135.fa","17A_III_BM_out.16.fa",0.868
"3176465","11A_II_BM_out.135.fa","AD128I_FD_BM_out.31.fa",0.868
"502511","11A_II_BM_out.135.fa","13A_III_BM_out.85.fa",0.866
"2711863","11A_II_BM_out.135.fa","AD118III_FD_BM_out.119.fa",0.85
"2408775","11A_II_BM_out.135.fa","8A_II_BM_out.52.fa",0.844
"2955131","11A_II_BM_out.135.fa","AD121II_FD_BM_out.63.fa",0.788
"616170","11A_II_BM_out.137.fa","15A_II_BM_out.171.fa",0.558
"929228","11A_II_BM_out.137.fa","17A_III_BM_out.222.fa",0.548
"1836498","11A_II_BM_out.137.fa","6A_II_BM_out.224.fa",0.544
"2658026","11A_II_BM_out.137.fa","9A_II_BM_out.68.fa",0.544
"3692912","11A_II_BM_out.137.fa","AD148III_FD_BM_out.117.fa",0.48
"3820528","11A_II_BM_out.137.fa","AD152III_FD_BM_out.107.fa",0.416
"721853","11A_II_BM_out.139.fa","15A_II_BM_out.42.fa",0.936
"1948163","11A_II_BM_out.139.fa","7A_III_BM_out.105.fa",0.93
"2584249","11A_II_BM_out.139.fa","9A_II_BM_out.204.fa",0.924
"847475","11A_II_BM_out.139.fa","17A_III_BM_out.154.fa",0.92
"2287143","11A_II_BM_out.139.fa","8A_II_BM_out.160.fa",0.918
"3182449","11A_II_BM_out.139.fa","AD128I_FD_BM_out.37.fa",0.918
"2901295","11A_II_BM_out.139.fa","AD121II_FD_BM_out.29.fa",0.916
"3397801","11A_II_BM_out.139.fa","AD132III_FD_BM_out.74.fa",0.916
"323053","11A_II_BM_out.139.fa","13A_III_BM_out.161.fa",0.912
"1146575","11A_II_BM_out.139.fa","2AD43II_FD_BM_out.34.fa",0.91
"3068791","11A_II_BM_out.139.fa","AD126III_FD_BM_out.4.fa",0.91
"2835493","11A_II_BM_out.139.fa","AD118III_FD_BM_out.72.fa",0.908
"1236305","11A_II_BM_out.139.fa","2AD48II_FD_BM_out.17.fa",0.906
"3914247","11A_II_BM_out.139.fa","AD152III_FD_BM_out.58.fa",0.902
"3804577","11A_II_BM_out.139.fa","AD148III_FD_BM_out.95.fa",0.9
"1385855","11A_II_BM_out.139.fa","2AD52I_FD_BM_out.53.fa",0.898
"1431717","11A_II_BM_out.139.fa","2AD57I_FD_BM_out.1.fa",0.89
"1603201","11A_II_BM_out.139.fa","2AD61I_FD_BM_out.3.fa",0.884
"3461609","11A_II_BM_out.139.fa","AD143II_FD_BM_out.36.fa",0.88
"1818553","11A_II_BM_out.139.fa","6A_II_BM_out.210.fa",0.846
"562342","11A_II_BM_out.14.fa","15A_II_BM_out.125.fa",0.672
"3830508","11A_II_BM_out.14.fa","AD152III_FD_BM_out.116.fa",0.664
"3306086","11A_II_BM_out.14.fa","AD132III_FD_BM_out.127.fa",0.654
"2572294","11A_II_BM_out.14.fa","9A_II_BM_out.188.fa",0.652
"2360930","11A_II_BM_out.14.fa","8A_II_BM_out.215.fa",0.65
"450678","11A_II_BM_out.14.fa","13A_III_BM_out.44.fa",0.648
"3014962","11A_II_BM_out.14.fa","AD126III_FD_BM_out.111.fa",0.646
"2827526","11A_II_BM_out.14.fa","AD118III_FD_BM_out.67.fa",0.642
"1714874","11A_II_BM_out.14.fa","6A_II_BM_out.120.fa",0.632
"3475576","11A_II_BM_out.14.fa","AD143II_FD_BM_out.45.fa",0.628
"2043884","11A_II_BM_out.14.fa","7A_III_BM_out.175.fa",0.624
"975100","11A_II_BM_out.14.fa","17A_III_BM_out.254.fa",0.62
"3726820","11A_II_BM_out.14.fa","AD148III_FD_BM_out.2.fa",0.612
"2987046","11A_II_BM_out.14.fa","AD121II_FD_BM_out.8.fa",0.552
"3222338","11A_II_BM_out.14.fa","AD128I_FD_BM_out.66.fa",0.472
"1178488","11A_II_BM_out.14.fa","2AD43II_FD_BM_out.57.fa",0.348
"1986051","11A_II_BM_out.141.fa","7A_III_BM_out.128.fa",0.976
"999021","11A_II_BM_out.141.fa","17A_III_BM_out.274.fa",0.952
"552365","11A_II_BM_out.141.fa","15A_II_BM_out.119.fa",0.932
"295139","11A_II_BM_out.141.fa","13A_III_BM_out.140.fa",0.888
"3672975","11A_II_BM_out.141.fa","AD148III_FD_BM_out.101.fa",0.88
"1796621","11A_II_BM_out.141.fa","6A_II_BM_out.190.fa",0.872
"2947159","11A_II_BM_out.141.fa","AD121II_FD_BM_out.57.fa",0.86
"2616155","11A_II_BM_out.141.fa","9A_II_BM_out.35.fa",0.838
"1316067","11A_II_BM_out.141.fa","2AD48II_FD_BM_out.77.fa",0.824
"3178463","11A_II_BM_out.141.fa","AD128I_FD_BM_out.33.fa",0.778
"2745765","11A_II_BM_out.141.fa","AD118III_FD_BM_out.147.fa",0.626
"2253247","11A_II_BM_out.141.fa","8A_II_BM_out.129.fa",0.582
"1984058","11A_II_BM_out.142.fa","7A_III_BM_out.126.fa",0.906
"2255242","11A_II_BM_out.142.fa","8A_II_BM_out.12.fa",0.898
"809592","11A_II_BM_out.142.fa","17A_III_BM_out.123.fa",0.892
"2705886","11A_II_BM_out.142.fa","AD118III_FD_BM_out.111.fa",0.892
"269218","11A_II_BM_out.142.fa","13A_III_BM_out.120.fa",0.89
"1563324","11A_II_BM_out.142.fa","2AD61I_FD_BM_out.119.fa",0.888
"530432","11A_II_BM_out.142.fa","15A_II_BM_out.104.fa",0.886
"1860430","11A_II_BM_out.142.fa","6A_II_BM_out.39.fa",0.882
"2648060","11A_II_BM_out.142.fa","9A_II_BM_out.60.fa",0.876
"3505480","11A_II_BM_out.142.fa","AD143II_FD_BM_out.70.fa",0.876
"3046860","11A_II_BM_out.142.fa","AD126III_FD_BM_out.36.fa",0.874
"2913262","11A_II_BM_out.142.fa","AD121II_FD_BM_out.36.fa",0.87
"3637084","11A_II_BM_out.142.fa","AD138III_FD_BM_out.73.fa",0.868
"3375870","11A_II_BM_out.142.fa","AD132III_FD_BM_out.62.fa",0.864
"3806574","11A_II_BM_out.142.fa","AD148III_FD_BM_out.96.fa",0.864
"3242272","11A_II_BM_out.142.fa","AD128I_FD_BM_out.79.fa",0.862
"1531420","11A_II_BM_out.142.fa","2AD57I_FD_BM_out.91.fa",0.852
"1196428","11A_II_BM_out.142.fa","2AD43II_FD_BM_out.71.fa",0.85
"3862406","11A_II_BM_out.142.fa","AD152III_FD_BM_out.140.fa",0.83
"1286158","11A_II_BM_out.142.fa","2AD48II_FD_BM_out.59.fa",0.814
"474601","11A_II_BM_out.144.fa","13A_III_BM_out.66.fa",0.946
"2540385","11A_II_BM_out.144.fa","9A_II_BM_out.159.fa",0.9
"2448661","11A_II_BM_out.144.fa","8A_II_BM_out.75.fa",0.838
"1958137","11A_II_BM_out.144.fa","7A_III_BM_out.10.fa",0.824
"3032903","11A_II_BM_out.144.fa","AD126III_FD_BM_out.26.fa",0.822
"865425","11A_II_BM_out.144.fa","17A_III_BM_out.164.fa",0.798
"1754749","11A_II_BM_out.144.fa","6A_II_BM_out.145.fa",0.744
"725845","11A_II_BM_out.144.fa","15A_II_BM_out.48.fa",0.66
"2492530","11A_II_BM_out.145.fa","9A_II_BM_out.113.fa",0.748
"2205394","11A_II_BM_out.145.fa","7A_III_BM_out.97.fa",0.716
